actual_order,num_obser,auto_arima_true_count,auto_arima_false_count,least_p_true_count,least_p_false_count,refit_avg_rmse_least_p_model,avg_rmse_least_p_model_values,refit_avg_rmse_auto_arima,avg_rmse_auto_arima_model,refit_avg_insig_params_least_p_model,avg_insig_params_least_p_model,refit_avg_insig_params_auto_arima_model,avg_insig_params_auto_arima_model,avg_sw_p_value	,avg_lbq_p_value,avg_t_test_p_value,avg_validation_score
4 0 4,300,2,13,0,15,1.2087669799481,1.22677121043902,1.2846641248432,1.29277730527307,0.333333333333333,2.13333333333333,1.4,0.866666666666667,0.482609922649006,0.40600293362483,0.68518747964468,0.933333333333333
3 0 1,300,6,9,1,14,1.27948169577623,1.2897317586077,1.24889163199825,1.26471463573809,0.266666666666667,2.66666666666667,1.2,0.533333333333333,0.516930438535135,0.556725179273154,0.625942556970957,0.8
1 0 0,300,3,12,3,12,1.23100682636574,1.22588867116677,1.28358020844748,1.30539775718814,0.2,1.8,1.4,0.733333333333333,0.41354278300644,0.63879206584926,0.762991717760294,0.8
0 0 3,300,1,14,0,15,1.28968936432777,1.29961024458539,1.33044513728807,1.30341446287154,0.466666666666667,2,1.2,0.733333333333333,0.473172585758962,0.441556758448585,0.718753478941348,0.733333333333333
0 0 0,300,4,11,1,14,1.35485414798045,1.3815621747361,1.4511877595858,1.46034058519231,0.4,2.06666666666667,1.2,0.733333333333333,0.470909793815662,0.680150042744497,0.636990195903881,0.866666666666667
2 0 0,300,3,12,1,14,1.11881402022235,1.12148649409315,1.14329853685379,1.12196088320432,0.333333333333333,2.4,1.06666666666667,0.466666666666667,0.531113848396176,0.671396960071077,0.533751294395079,0.866666666666667
2 0 1,300,4,11,0,15,2.31378376031063,2.28494013261191,2.40369850887396,2.37708622090335,0.133333333333333,1.33333333333333,1.06666666666667,0.6,0.434838745617704,0.601149036488289,0.603005140484099,0.8
0 0 5,300,5,10,0,15,1.46334598930427,1.46952063904165,1.53011374395168,1.56363175258705,0.333333333333333,1.86666666666667,1.13333333333333,0.733333333333333,0.424381593702659,0.621471279648585,0.579404472670925,0.866666666666667
1 0 2,300,6,9,0,15,1.36034584417231,1.38154663815409,1.50076103120305,1.50991071302498,0.2,2.06666666666667,1.06666666666667,0.6,0.478096838678218,0.591233579060246,0.579137851923532,0.866666666666667
1 0 1,300,3,12,1,14,1.2508389767564,1.2478337478502,1.49168025001677,1.52711463558691,0.266666666666667,2.53333333333333,1.06666666666667,0.733333333333333,0.470190895478149,0.473702735748196,0.630346086216794,0.8
5 0 0,300,4,11,0,15,1.23652698474455,1.29328640278628,1.4060719935772,1.41572899194499,0.266666666666667,2.33333333333333,1.06666666666667,0.6,0.520473971337809,0.69247200132632,0.615620796915835,0.733333333333333
5 0 2,300,2,13,1,14,1.23748075666119,1.23790320687264,1.16618666995802,1.23431668728381,0.2,2.86666666666667,1.2,0.533333333333333,0.479705002312206,0.73039627588713,0.64849932419577,0.866666666666667
0 0 4,300,5,10,1,14,1.28321334601866,1.27888115253177,1.34705110582539,1.33458770314282,0.266666666666667,1.6,1.4,0.666666666666667,0.486094685766444,0.733316721285902,0.72538871873394,0.866666666666667
